x,y
-19.6357822,-21.6789818
3.99259615,-8.80206490
-23.0568562,-31.4560966
-33.8487740,37.1128998
23.4521542,-44.9530373
35.8071938,23.8844471
-3.72956300,-46.2148781
-17.5002403,4.78046274
-38.3583527,15.2210665
3.72038436,-7.42056227
-48.2942352,-42.5421410
17.8320618,-42.9262314
-18.3129787,48.8880959
-27.4188843,22.5598240
-11.5459852,39.7517815
12.8755713,8.31247330
-28.1279278,-13.8879919
12.8749828,9.89647484
7.39245272,-28.0064392
-48.3920441,-9.27573872
6.42499924,32.6149483
-7.07552624,32.6787071
-37.3941383,3.90844965
26.2268181,49.2049217
8.17893219,49.0786667
11.5827274,-17.2290936
33.5114861,46.1736832
-47.7631493,29.8430882
-49.7416077,33.0790520
-16.0085831,-41.0186768
-33.4531937,8.28310299
42.8997459,8.92302322
-47.3315582,10.1929560
-26.8677616,-14.5827866
16.1558571,-24.7444115
29.3516617,22.7848663
1.10805237,-1.27900231
28.7964764,29.3415718
-15.1592703,17.0598202
-2.49565625,16.9470158
-25.7111492,-29.3575459
41.4341507,25.3726025
41.2411957,49.4714432
-11.6972113,-33.8350410
6.41701174,-34.5708504
49.3891869,18.4788895
0.598319054,38.0015907
-11.3746090,-35.2451439
38.0667496,21.6320381
29.8683109,-15.9137163
-7.01336622,-12.5048914
7.40439177,-44.3621178
6.45677996,9.72452450
22.4517841,21.5999508
-49.4001198,-39.8487511
24.2520027,49.5249748
-24.7374039,-15.9910679
-15.7787733,39.7163315
-37.3536415,27.3653545
-31.8288345,-6.27605724
-32.2580452,21.1959610
-27.8323994,32.6537666
15.8002138,27.8892899
-41.2494659,14.9154491
-37.2873611,-0.465162992
-3.78625822,9.07237148
1.11981750,47.0057602
-29.4700680,11.9619541
-32.4144249,22.0085621
0.933781445,11.1405821
-4.61170721,-33.9792328
-33.4066696,-14.2579708
10.1333466,24.4938622
18.8334122,20.7804852
-7.28220034,-41.5255165
-39.0929031,27.3841305
-16.6690044,-41.8239861
-44.1429596,-49.7011108
49.0091667,-9.39547729
-2.03544950,-44.4595032
-17.3659973,7.79094744
35.0121117,37.9828148
47.7711411,40.5335541
3.86740613,29.7738647
-21.3023186,-43.1970978
-13.0884666,-19.8311195
-15.3550291,-43.2377357
30.0759811,35.2186584
-23.5586510,-14.7638311
-1.64036024,48.3239403
32.9570007,49.0579262
21.4097977,-32.6227989
39.3982391,-20.5564194
9.77858543,33.0459824
-3.54246449,49.4830742
5.41336250,44.3217621
-5.24218273,-27.5164108
47.7035942,21.4648666
44.7917480,6.53864241
-8.98612213,13.5869141
-40.8070831,-48.0324745
-44.0026894,-37.7105446
20.3878479,-14.4206581
-3.34729528,-6.25431013
-31.4583378,-18.0166092
-6.09299469,-36.3311310
-43.9911995,-18.6415787
-15.9984941,27.7505665
48.3980713,-27.0869217
-34.3704681,-22.7679119
-49.7547836,49.1700325
1.18428314,39.9696808
-32.6634331,42.0870056
