x,y
-1.009041404805481879e-01,4.165154729141898882e-01
-3.623932740979842748e-01,4.547356987337993761e-01
3.960378175454702387e-01,3.265024803301459499e-01
-3.982909995026301941e-01,5.238882725561209985e-02
-4.680140713065419344e-01,-4.447773071154438318e-01
-2.632633169043818167e-01,2.937534639245897861e-01
-1.615339993758800885e-01,9.504331120841935654e-02
6.877113196053152855e-02,-2.784769709191349252e-01
8.151980724114081533e-02,4.281157705957323589e-01
1.332100890462580567e-01,-2.114667133102339849e-02
4.634972288141150920e-01,-3.143003143768187124e-01
-1.276879663719765468e-01,3.504169779732461132e-01
-1.335888002147000708e-01,-2.122066013969730325e-01
3.964770312056644097e-01,3.648639093190999549e-01
-3.007509512426017051e-01,-3.050353839756941854e-01
-1.163416068875047366e-01,-2.463468440381770541e-01
-3.774773944658649794e-01,-2.294073948752086700e-01
3.948830547006063063e-02,-1.243459096490998755e-01
9.845702350574304929e-02,-3.472227820666575759e-01
1.190068799120052173e-01,-3.181533610766856812e-01
6.835931623735028162e-02,-1.031651211483940733e-01
4.048006459452598294e-01,5.332950364103405255e-02
3.045552144397579153e-01,-3.196362601747381182e-01
1.420210718378519255e-01,2.924384623610872813e-01
-4.218476108953619907e-01,-1.764463644550013366e-01
-2.638804120013366616e-01,-2.685852181565951541e-02
-2.883329306254160951e-01,3.814585771233949263e-01
-7.233826866807983869e-02,-2.558758313318031941e-01
3.647729099921516727e-01,-1.982082663059996919e-01
4.195770839012787912e-01,-4.570745514313174773e-01
1.929899195144742508e-01,1.849554896055544823e-02
-4.803823870179711464e-01,-2.035465063277576980e-01
4.139607661344293366e-01,9.201139933962011741e-02
-2.981618015574024061e-01,-3.435408744711135887e-01
6.564444222713104737e-02,-2.448348840940904325e-01
1.359669066959892647e-01,-1.419173398717297196e-01
-1.030096722610039928e-01,-3.537148909659244556e-01
9.528640549171002450e-02,-7.973072246246692973e-02
-1.309494791118810675e-01,-9.844935329182936956e-02
4.368711828388980312e-01,-2.755485396270973553e-01
3.140804892691075045e-02,4.168265861364310876e-01
-4.354969287991206084e-01,1.364150854464523388e-01
-2.548842357905112821e-01,1.910692544564459583e-01
4.521087117324527060e-01,-4.779912948315541144e-01
2.447711991094815021e-01,1.509727902241567721e-01
2.951761332063199683e-01,-3.542075496277374835e-01
1.093684298048649556e-01,4.984714963632455031e-01
-3.255979603256675126e-01,-1.430074948486718955e-01
3.673520275860448492e-01,-7.836176721477863816e-03
3.299563699072949885e-01,3.154082673123647096e-01
-2.045642640462667083e-01,9.431389705442363991e-02
-3.755649774578412869e-01,-3.212590163040002222e-01
1.804836250796626740e-01,-1.557248318148508892e-01
-2.923852373770681745e-01,3.816716694388850445e-02
1.778457874851021442e-02,1.747534132755700353e-01
9.396404628572861684e-02,-3.042862095022311753e-01
6.331563417064939303e-02,2.563132566975482307e-01
-1.021357476763881528e-01,-2.784803906792958639e-01
-4.682915452154008396e-01,-3.042993216142865220e-01
3.265147968259978772e-01,-1.000070333999113215e-01
3.982017105324338058e-01,4.621656730753036513e-01
1.876171180159530161e-01,2.052620652248879074e-01
-4.021300135364797579e-01,-1.897365868238940628e-02
-4.402485149088256750e-02,-1.196472502964316814e-01
-9.940334417165994085e-02,-4.298130000871878131e-01
1.668337979219921274e-01,3.414042930150580635e-02
-2.161919682872836396e-02,1.167887803586310363e-01
1.686847511115514286e-01,-3.740338846884212476e-01
4.271607483597307797e-01,-3.145676436220421479e-01
4.697409687979112181e-01,2.579610318658664969e-01
4.885930742489202200e-02,4.462541798759757095e-01
4.378748902907017571e-01,-8.045555065403753314e-02
1.496367587800651877e-01,1.527445913412831813e-01
-1.962605691351258785e-01,-3.178763793260898085e-01
-4.396169385009103814e-01,4.510934968863209438e-01
-4.704014883598084396e-01,-2.702503306771832925e-01
-3.472434219523334864e-01,4.118998583589985607e-01
-2.958611889809248940e-01,1.457052988551302275e-01
2.577021329906998282e-01,3.212849863957752961e-01
-2.739744192727038841e-01,8.431228352121407366e-02
6.375461785939504078e-02,3.994059199033124230e-01
-2.669192160627214538e-01,1.179217061325859087e-02
4.193723838507153467e-01,1.620935264217487348e-01
-2.871507358438706303e-01,-4.748981546712328639e-01
3.425979335825323630e-02,2.777525933871762831e-01
2.169503711539768620e-01,-2.831302789839428291e-01
3.106153205155777822e-02,7.207870339194376308e-02
3.345201833614083742e-01,2.437241765255009074e-01
-2.235817871541065371e-01,-1.127457690761701076e-01
-2.246579788768375829e-01,1.673448020377645284e-01
-1.243789375283378129e-01,2.054073227395041279e-01
-5.497394164868382727e-02,1.818610998795271438e-01
7.482121909383951386e-02,4.765376715055468226e-01
-3.388370469150095987e-01,3.459199032980126987e-01
2.570598654091066915e-01,-1.865624037166246085e-01
-3.591767123697931496e-01,-4.631981517310802543e-01
1.962199933683642927e-01,-4.069750199630586818e-02
-4.649824842987453355e-01,3.210039217366259523e-01
1.680707762698285812e-01,-7.482846539630168270e-02
-3.892046756562173027e-01,-5.160214522975128254e-02
-2.876816077918379344e-01,-2.733762983500215293e-01
-7.250349355379627492e-02,3.941298036223103152e-01
-2.217730346261685692e-02,-1.491901715668784434e-01
9.889543406535192260e-02,-2.542294640963548291e-01
2.402467928407675535e-01,-7.654598330668847816e-02
2.992579430952698183e-01,-4.274989558751051133e-01
3.420692504231758746e-01,6.371269949672070387e-02
-1.937386209268609771e-01,2.252255472611291998e-01
2.371869549261296783e-01,2.562463889720322241e-01
-1.774263152308546143e-01,-2.754337081213259486e-01
2.721206036678956441e-01,3.975308235752698094e-01
3.325834536644577955e-01,2.081813549435622968e-01
3.236167499688075849e-02,-4.430177824556542215e-02
2.663578626837510566e-01,-2.236619001092377268e-01
-4.381451530325295440e-01,2.620463416772541576e-01
-2.017823460734374519e-01,-1.245170962200984992e-02
1.688195324964317234e-01,-2.356442511583178301e-01
