nu transmission_unfiltered transmission_filtered
0.642186001917545601 0.099233858607318787 0.089189533377409647
0.645119846596356683 0.091135042449751388 0.088841016486501292
0.648053691275167765 0.087274010230562166 0.088393558013106277
0.650987535953978846 0.075516475319945139 0.087849290257462909
0.653921380632790039 0.102486416070453015 0.087211585295004376
0.656855225311601121 0.111939406100859243 0.086485381291076108
0.659789069990412314 0.101215676822939124 0.085676859183790519
0.662722914669223284 0.074264919953217157 0.084793865126259360
0.665656759348034366 0.086352821706524724 0.083846132760561964
0.668590604026845559 0.084676244929801525 0.082844792871896500
0.671524448705656751 0.080281474462473273 0.081801697874056153
0.674458293384467833 0.089348296469871274 0.080730160713572502
0.677392138063279026 0.091951575123214460 0.079644008039673572
0.680325982742090107 0.090859066351212020 0.078556218998596161
